2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
